"playerid","name","teamname","totalgoals","totalassists","averageminutesplayed","playedover300min","agebetween25and30","scored3plusgoalsinmatch","estimatedmatchesplayed","playedinfrance","datejoinedfrenchteam","playedingermany","datejoinedgermanteam"
45,Lucas Jones,Turin Stars,8,2,71.2500000000000000,"0","0","1","3 match15 min",0,,1,
395,William Smith,Bilbao Rovers,5,4,69.0000000000000000,"1","0","0","3 match75 min",0,,0,
174,Michael Rodriguez,Bordeaux FC,5,0,82.5000000000000000,"0","0","1","1 match75 min",1,,0,
387,Lucas Smith,Bilbao Rovers,14,6,75.0000000000000000,"1","0","1","5 match75 min",0,,0,
295,William Smith,Arsenal Stars,2,0,70.0000000000000000,"0","0","0","2 match30 min",0,,0,
213,Oliver Jones,London Lions,5,0,63.7500000000000000,"0","1","1","2 match75 min",0,,0,
134,Oliver Davis,Lyon Warriors,1,0,60.0000000000000000,"0","1","0","0 match60 min",1,,0,
334,Oliver Jones,Madrid United,1,1,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
274,Benjamin Johnson,Chelsea United,5,1,67.5000000000000000,"0","0","1","1 match45 min",0,,0,
144,Daniel Jones,Marseille United,8,4,55.0000000000000000,"1","0","1","3 match60 min",1,,0,
39,William Johnson,Milan City,7,1,63.7500000000000000,"0","1","0","2 match75 min",0,,1,
168,Benjamin Rodriguez,Bordeaux FC,8,1,85.0000000000000000,"0","0","1","2 match75 min",1,,0,
163,Benjamin Johnson,Bordeaux FC,5,2,75.0000000000000000,"0","0","1","2 match45 min",1,,0,
223,William Rodriguez,Manchester Hawks,16,4,58.1250000000000000,"1","0","1","5 match15 min",0,,0,
352,William Garcia,Valencia CF,4,0,65.0000000000000000,"0","0","1","2 match15 min",0,,0,
36,Liam Davis,Milan City,4,0,80.0000000000000000,"0","1","0","2 match60 min",0,,1,
393,Michael Davis,Bilbao Rovers,4,7,67.5000000000000000,"0","0","1","3 match0 min",0,,0,
287,Daniel Brown,Arsenal Stars,6,2,63.7500000000000000,"0","0","1","2 match75 min",0,,0,
221,Lucas Hernandez,Manchester Hawks,0,1,45.0000000000000000,"0","0","0","0 match45 min",0,,0,
362,Michael Martinez,Seville Stars,5,1,85.0000000000000000,"0","0","0","2 match75 min",0,,0,
102,Henry Miller,Paris Kings,2,1,90.0000000000000000,"0","1","0","1 match0 min",1,,0,
312,Lucas Rodriguez,Barcelona FC,1,1,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
167,Lucas Martinez,Bordeaux FC,3,2,90.0000000000000000,"0","0","0","2 match0 min",1,,0,
158,Lucas Garcia,Marseille United,1,0,67.5000000000000000,"0","0","0","1 match45 min",1,,0,
277,Benjamin Smith,Chelsea United,5,2,75.0000000000000000,"0","1","1","2 match45 min",0,,0,
290,Oliver Johnson,Arsenal Stars,5,0,67.5000000000000000,"0","1","1","1 match45 min",0,,0,
118,Lucas Jones,Paris Kings,4,3,60.0000000000000000,"0","0","0","2 match60 min",1,,0,
265,William Jones,Chelsea United,0,1,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
284,Lucas Rodriguez,Arsenal Stars,6,0,75.0000000000000000,"0","0","1","1 match60 min",0,,0,
317,Benjamin Smith,Barcelona FC,1,0,75.0000000000000000,"0","0","0","1 match60 min",0,,0,
342,James Johnson,Valencia CF,0,1,90.0000000000000000,"0","0","0","1 match0 min",0,,0,
111,Henry Jones,Paris Kings,4,2,70.0000000000000000,"0","0","1","2 match30 min",1,,0,
16,Lucas Hernandez,Roma United,5,2,67.5000000000000000,"0","1","1","1 match45 min",0,,1,
207,William Jones,London Lions,2,1,75.0000000000000000,"0","1","0","0 match75 min",0,,0,
62,Daniel Rodriguez,Naples FC,2,0,90.0000000000000000,"0","1","0","1 match0 min",0,,1,
123,Lucas Jones,Lyon Warriors,3,3,67.5000000000000000,"0","1","0","1 match45 min",1,,0,
126,Michael Garcia,Lyon Warriors,1,1,45.0000000000000000,"0","0","0","0 match45 min",1,,0,
194,Alexander Brown,Lille Athletics,5,1,50.0000000000000000,"0","0","0","1 match60 min",1,,0,
326,Daniel Smith,Madrid United,12,3,75.0000000000000000,"1","0","1","4 match15 min",0,,0,
360,Michael Rodriguez,Valencia CF,4,2,70.0000000000000000,"0","1","0","2 match30 min",0,,0,
385,Lucas Brown,Bilbao Rovers,3,0,75.0000000000000000,"0","0","1","0 match75 min",0,,0,
371,Liam Brown,Seville Stars,4,4,65.0000000000000000,"0","0","1","2 match15 min",0,,0,
99,Michael Miller,Venice Rovers,9,2,57.5000000000000000,"1","0","1","3 match75 min",0,,1,
367,Oliver Miller,Seville Stars,11,2,80.0000000000000000,"1","0","1","5 match30 min",0,,0,
374,James Miller,Seville Stars,2,1,65.0000000000000000,"0","1","0","2 match15 min",0,,0,
41,Benjamin Rodriguez,Turin Stars,5,0,70.0000000000000000,"0","0","1","2 match30 min",0,,1,
46,Liam Jones,Turin Stars,3,4,82.5000000000000000,"0","0","0","1 match75 min",0,,1,
206,Henry Martinez,London Lions,1,0,67.5000000000000000,"0","0","0","1 match45 min",0,,0,
365,William Miller,Seville Stars,9,2,78.7500000000000000,"1","0","1","3 match45 min",0,,0,
157,James Johnson,Marseille United,2,0,60.0000000000000000,"0","0","0","0 match60 min",1,,0,
53,Henry Miller,Turin Stars,1,2,60.0000000000000000,"0","1","0","1 match30 min",0,,1,
32,Daniel Davis,Milan City,6,2,55.0000000000000000,"0","1","1","1 match75 min",0,,1,
336,Lucas Hernandez,Madrid United,4,2,63.0000000000000000,"1","0","0","3 match45 min",0,,0,
318,Oliver Miller,Barcelona FC,3,0,90.0000000000000000,"0","1","1","1 match0 min",0,,0,
275,Michael Hernandez,Chelsea United,4,1,75.0000000000000000,"0","0","1","1 match60 min",0,,0,
260,Benjamin Martinez,Liverpool FC,1,0,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
308,Daniel Brown,Barcelona FC,7,2,57.0000000000000000,"0","1","0","3 match15 min",0,,0,
183,Liam Martinez,Lille Athletics,2,1,67.5000000000000000,"0","1","0","1 match45 min",1,,0,
100,Alexander Brown,Venice Rovers,1,1,70.0000000000000000,"0","0","0","2 match30 min",0,,1,
136,William Smith,Lyon Warriors,5,1,67.5000000000000000,"0","0","1","1 match45 min",1,,0,
313,Oliver Jones,Barcelona FC,3,0,67.5000000000000000,"0","1","0","1 match45 min",0,,0,
140,Daniel Hernandez,Lyon Warriors,3,3,75.0000000000000000,"0","0","1","1 match60 min",1,,0,
139,Alexander Davis,Lyon Warriors,3,2,60.0000000000000000,"0","0","1","1 match30 min",1,,0,
12,Alexander Martinez,Roma United,6,3,55.0000000000000000,"0","0","1","1 match75 min",0,,1,
248,Liam Smith,Liverpool FC,0,2,75.0000000000000000,"0","0","0","1 match60 min",0,,0,
137,Daniel Miller,Lyon Warriors,4,3,90.0000000000000000,"0","0","1","3 match0 min",1,,0,
208,Oliver Jones,London Lions,3,0,45.0000000000000000,"0","1","1","0 match45 min",0,,0,
293,Henry Davis,Arsenal Stars,1,0,75.0000000000000000,"0","1","0","0 match75 min",0,,0,
392,Liam Rodriguez,Bilbao Rovers,3,1,75.0000000000000000,"0","0","1","0 match75 min",0,,0,
24,Henry Johnson,Milan City,3,2,85.0000000000000000,"0","0","0","2 match75 min",0,,1,
191,Henry Garcia,Lille Athletics,6,2,67.5000000000000000,"0","0","1","1 match45 min",1,,0,
25,Henry Davis,Milan City,4,1,50.0000000000000000,"0","0","1","1 match60 min",0,,1,
94,Daniel Rodriguez,Venice Rovers,0,2,60.0000000000000000,"0","1","0","0 match60 min",0,,1,
141,Lucas Johnson,Marseille United,2,1,75.0000000000000000,"0","0","0","2 match45 min",1,,0,
122,Daniel Garcia,Lyon Warriors,3,0,60.0000000000000000,"0","0","1","0 match60 min",1,,0,
218,William Davis,London Lions,7,2,56.2500000000000000,"0","0","1","2 match45 min",0,,0,
154,Oliver Davis,Marseille United,6,0,78.7500000000000000,"1","0","1","3 match45 min",1,,0,
49,Liam Miller,Turin Stars,6,3,55.0000000000000000,"0","1","1","1 match75 min",0,,1,
234,William Martinez,Manchester Hawks,2,0,75.0000000000000000,"0","0","0","0 match75 min",0,,0,
316,James Brown,Barcelona FC,4,3,90.0000000000000000,"0","0","0","2 match0 min",0,,0,
211,William Jones,London Lions,4,1,63.7500000000000000,"0","0","0","2 match75 min",0,,0,
256,William Garcia,Liverpool FC,4,3,60.0000000000000000,"0","0","1","1 match30 min",0,,0,
33,James Garcia,Milan City,1,1,45.0000000000000000,"0","1","0","0 match45 min",0,,1,
185,William Garcia,Lille Athletics,2,1,90.0000000000000000,"0","0","0","1 match0 min",1,,0,
64,Oliver Martinez,Naples FC,4,4,60.0000000000000000,"0","0","1","2 match0 min",0,,1,
264,Liam Brown,Chelsea United,2,2,52.5000000000000000,"0","1","0","1 match15 min",0,,0,
380,James Martinez,Seville Stars,0,2,70.0000000000000000,"0","1","0","2 match30 min",0,,0,
215,Benjamin Rodriguez,London Lions,7,6,70.0000000000000000,"1","0","1","4 match60 min",0,,0,
55,Alexander Jones,Turin Stars,3,0,60.0000000000000000,"0","0","0","1 match30 min",0,,1,
148,William Rodriguez,Marseille United,0,2,75.0000000000000000,"0","0","0","1 match60 min",1,,0,
23,Alexander Miller,Milan City,5,2,60.0000000000000000,"0","1","1","2 match0 min",0,,1,
270,Henry Davis,Chelsea United,4,1,75.0000000000000000,"0","0","0","2 match45 min",0,,0,
